V4_0,Time_codelist,Time,Geography_codelist,Geography,DATAMARKING_codelist,DATAMARKING,Indicators_codelist,Indicators,Measure_codelist,Measure
4.23,,2016/17*,E06000047,,,,,0-4,,Life
16.8,,2016/17*,E06000047,,,,, 5-6 ,,Life
48.2,,2016/17*,E06000047,,,,,7-8  ,,Life
30.77,,2016/17*,E06000047,,,,,9-10 ,,Life
6.12,,2011/12,E06000005,,,,,0-4,,Life
20.01,,2011/12,E06000005,,,,, 5-6 ,,Life
44.19,,2011/12,E06000005,,,,,7-8  ,,Life
29.68,,2011/12,E06000005,,,,,9-10 ,,Life
6.51,,2012/13*,E06000005,,,,,0-4,,Life
15.81,,2012/13*,E06000005,,,,, 5-6 ,,Life
49.39,,2012/13*,E06000005,,,,,7-8  ,,Life
28.3,,2012/13*,E06000005,,,,,9-10 ,,Life
5.39,,2013/14*,E06000005,,,,,0-4,,Life
14.4,,2013/14*,E06000005,,,,, 5-6 ,,Life
53.79,,2013/14*,E06000005,,,,,7-8  ,,Life
26.43,,2013/14*,E06000005,,,,,9-10 ,,Life
4.28,,2014/15*,E06000005,,,,,0-4,,Life
15.03,,2014/15*,E06000005,,,,, 5-6 ,,Life
50.52,,2014/15*,E06000005,,,,,7-8  ,,Life
30.17,,2014/15*,E06000005,,,,,9-10 ,,Life
5.63,,2015/16*,E06000005,,,,,0-4,,Life
14.42,,2015/16*,E06000005,,,,, 5-6 ,,Life
48.5,,2015/16*,E06000005,,,,,7-8  ,,Life
31.45,,2015/16*,E06000005,,,,,9-10 ,,Life
6.04,,2016/17*,E06000005,,,,,0-4,,Life
14.52,,2016/17*,E06000005,,,,, 5-6 ,,Life
48.71,,2016/17*,E06000005,,,,,7-8  ,,Life
30.73,,2016/17*,E06000005,,,,,9-10 ,,Life
6.4,,2011/12,E06000001,,,,,0-4,,Life
19.29,,2011/12,E06000001,,,,, 5-6 ,,Life
43.95,,2011/12,E06000001,,,,,7-8  ,,Life
30.37,,2011/12,E06000001,,,,,9-10 ,,Life
8.26,,2012/13*,E06000001,,,,,0-4,,Life
17.89,,2012/13*,E06000001,,,,, 5-6 ,,Life
47.88,,2012/13*,E06000001,,,,,7-8  ,,Life
25.96,,2012/13*,E06000001,,,,,9-10 ,,Life
6.4,,2013/14*,E06000001,,,,,0-4,,Life
17.92,,2013/14*,E06000001,,,,, 5-6 ,,Life
47.54,,2013/14*,E06000001,,,,,7-8  ,,Life
28.14,,2013/14*,E06000001,,,,,9-10 ,,Life
6.66,,2014/15*,E06000001,,,,,0-4,,Life
13.44,,2014/15*,E06000001,,,,, 5-6 ,,Life
47.12,,2014/15*,E06000001,,,,,7-8  ,,Life
32.78,,2014/15*,E06000001,,,,,9-10 ,,Life
6.8,,2015/16*,E06000001,,,,,0-4,,Life
16.3,,2015/16*,E06000001,,,,, 5-6 ,,Life
45.42,,2015/16*,E06000001,,,,,7-8  ,,Life
31.48,,2015/16*,E06000001,,,,,9-10 ,,Life
4.22,,2016/17*,E06000001,,,,,0-4,,Life
17.59,,2016/17*,E06000001,,,,, 5-6 ,,Life
51.08,,2016/17*,E06000001,,,,,7-8  ,,Life
27.11,,2016/17*,E06000001,,,,,9-10 ,,Life
7.37,,2011/12,E06000002,,,,,0-4,,Life
16.79,,2011/12,E06000002,,,,, 5-6 ,,Life
48.1,,2011/12,E06000002,,,,,7-8  ,,Life
27.75,,2011/12,E06000002,,,,,9-10 ,,Life
7.11,,2012/13*,E06000002,,,,,0-4,,Life
19.44,,2012/13*,E06000002,,,,, 5-6 ,,Life
45.45,,2012/13*,E06000002,,,,,7-8  ,,Life
28.0,,2012/13*,E06000002,,,,,9-10 ,,Life
7.17,,2013/14*,E06000002,,,,,0-4,,Life
17.31,,2013/14*,E06000002,,,,, 5-6 ,,Life
48.72,,2013/14*,E06000002,,,,,7-8  ,,Life
26.8,,2013/14*,E06000002,,,,,9-10 ,,Life
5.95,,2014/15*,E06000002,,,,,0-4,,Life
17.96,,2014/15*,E06000002,,,,, 5-6 ,,Life
46.97,,2014/15*,E06000002,,,,,7-8  ,,Life
29.12,,2014/15*,E06000002,,,,,9-10 ,,Life
4.92,,2015/16*,E06000002,,,,,0-4,,Life
13.56,,2015/16*,E06000002,,,,, 5-6 ,,Life
51.93,,2015/16*,E06000002,,,,,7-8  ,,Life
29.59,,2015/16*,E06000002,,,,,9-10 ,,Life
4.03,,2016/17*,E06000002,,,,,0-4,,Life
15.46,,2016/17*,E06000002,,,,, 5-6 ,,Life
52.86,,2016/17*,E06000002,,,,,7-8  ,,Life
27.66,,2016/17*,E06000002,,,,,9-10 ,,Life
4.47,,2011/12,E06000057,,,,,0-4,,Life
16.62,,2011/12,E06000057,,,,, 5-6 ,,Life
53.6,,2011/12,E06000057,,,,,7-8  ,,Life
25.3,,2011/12,E06000057,,,,,9-10 ,,Life
3.94,,2012/13*,E06000057,,,,,0-4,,Life
17.3,,2012/13*,E06000057,,,,, 5-6 ,,Life
52.18,,2012/13*,E06000057,,,,,7-8  ,,Life
26.58,,2012/13*,E06000057,,,,,9-10 ,,Life
6.27,,2013/14*,E06000057,,,,,0-4,,Life
14.4,,2013/14*,E06000057,,,,, 5-6 ,,Life
50.01,,2013/14*,E06000057,,,,,7-8  ,,Life
29.32,,2013/14*,E06000057,,,,,9-10 ,,Life
6.14,,2014/15*,E06000057,,,,,0-4,,Life
11.51,,2014/15*,E06000057,,,,, 5-6 ,,Life
54.9,,2014/15*,E06000057,,,,,7-8  ,,Life
27.45,,2014/15*,E06000057,,,,,9-10 ,,Life
2.77,,2015/16*,E06000057,,,,,0-4,,Life
13.16,,2015/16*,E06000057,,,,, 5-6 ,,Life
56.05,,2015/16*,E06000057,,,,,7-8  ,,Life
28.02,,2015/16*,E06000057,,,,,9-10 ,,Life
5.33,,2016/17*,E06000057,,,,,0-4,,Life
14.15,,2016/17*,E06000057,,,,, 5-6 ,,Life
56.47,,2016/17*,E06000057,,,,,7-8  ,,Life
24.05,,2016/17*,E06000057,,,,,9-10 ,,Life
6.7,,2011/12,E06000003,,,,,0-4,,Life
19.07,,2011/12,E06000003,,,,, 5-6 ,,Life
45.6,,2011/12,E06000003,,,,,7-8  ,,Life
28.64,,2011/12,E06000003,,,,,9-10 ,,Life
6.14,,2012/13*,E06000003,,,,,0-4,,Life
17.5,,2012/13*,E06000003,,,,, 5-6 ,,Life
45.0,,2012/13*,E06000003,,,,,7-8  ,,Life
31.36,,2012/13*,E06000003,,,,,9-10 ,,Life
5.65,,2013/14*,E06000003,,,,,0-4,,Life
16.67,,2013/14*,E06000003,,,,, 5-6 ,,Life
47.3,,2013/14*,E06000003,,,,,7-8  ,,Life
30.38,,2013/14*,E06000003,,,,,9-10 ,,Life
6.41,,2014/15*,E06000003,,,,,0-4,,Life
12.13,,2014/15*,E06000003,,,,, 5-6 ,,Life
50.22,,2014/15*,E06000003,,,,,7-8  ,,Life
31.24,,2014/15*,E06000003,,,,,9-10 ,,Life
6.01,,2015/16*,E06000003,,,,,0-4,,Life
15.08,,2015/16*,E06000003,,,,, 5-6 ,,Life
45.74,,2015/16*,E06000003,,,,,7-8  ,,Life
33.17,,2015/16*,E06000003,,,,,9-10 ,,Life
5.69,,2016/17*,E06000003,,,,,0-4,,Life
14.44,,2016/17*,E06000003,,,,, 5-6 ,,Life
50.01,,2016/17*,E06000003,,,,,7-8  ,,Life
29.85,,2016/17*,E06000003,,,,,9-10 ,,Life
5.04,,2011/12,E06000004,,,,,0-4,,Life
16.99,,2011/12,E06000004,,,,, 5-6 ,,Life
49.98,,2011/12,E06000004,,,,,7-8  ,,Life
27.99,,2011/12,E06000004,,,,,9-10 ,,Life
5.14,,2012/13*,E06000004,,,,,0-4,,Life
15.73,,2012/13*,E06000004,,,,, 5-6 ,,Life
53.71,,2012/13*,E06000004,,,,,7-8  ,,Life
25.42,,2012/13*,E06000004,,,,,9-10 ,,Life
4.94,,2013/14*,E06000004,,,,,0-4,,Life
14.91,,2013/14*,E06000004,,,,, 5-6 ,,Life
51.59,,2013/14*,E06000004,,,,,7-8  ,,Life
28.57,,2013/14*,E06000004,,,,,9-10 ,,Life
6.72,,2014/15*,E06000004,,,,,0-4,,Life
13.3,,2014/15*,E06000004,,,,, 5-6 ,,Life
46.97,,2014/15*,E06000004,,,,,7-8  ,,Life
33.02,,2014/15*,E06000004,,,,,9-10 ,,Life
5.03,,2015/16*,E06000004,,,,,0-4,,Life
15.87,,2015/16*,E06000004,,,,, 5-6 ,,Life
49.02,,2015/16*,E06000004,,,,,7-8  ,,Life
30.08,,2015/16*,E06000004,,,,,9-10 ,,Life
,,2016/17*,E06000004,,,x,,0-4,,Life
12.99,,2016/17*,E06000004,,,,, 5-6 ,,Life
53.39,,2016/17*,E06000004,,,,,7-8  ,,Life
29.16,,2016/17*,E06000004,,,,,9-10 ,,Life
9.39,,2011/12,E08000037,,,,,0-4,,Life
15.93,,2011/12,E08000037,,,,, 5-6 ,,Life
48.97,,2011/12,E08000037,,,,,7-8  ,,Life
25.71,,2011/12,E08000037,,,,,9-10 ,,Life
7.1,,2012/13*,E08000037,,,,,0-4,,Life
